what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1466293229016
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466293235585
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466293260649
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466293281937
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466293325111
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1466293337856
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1466293339076
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466293351454
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.window.showKeyAssist,1466293351475
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466293360133
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.copyLineDown,1466293360149
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1466293363766
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1466293364766
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.redo,1466293366951
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1466293373435
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1466293375343
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.scroll.lineUp,1466293379255
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1466293379646
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466293386086
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.window.showKeyAssist,1466293386102
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466293423962
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1466293428590
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1466293433111
started,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1466293489743
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1466293489758
