what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466878680605
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466878777256
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466878785459
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466878785709
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466878811982
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466878863771
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1466878938716
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466878940195
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466879053497
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1466879065131
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1466879067350
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1466879097590
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1466879099237
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1466879124806
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1466879126822
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1466879132760
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466879148086
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466879148274
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466879170175
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466879183824
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466879206071
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1466879574938
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1466879582550
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1466879583151
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1466879603446
