what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1467237492661
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1467237509525
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1467237509657
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1467237514044
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1467237514161
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1467237521569
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1467237535712
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1467237542987
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1467237549742
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1467237554888
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1467237555005
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1467237561512
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1467237561612
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1467237561627
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1467237569809
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1467237573109
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1467237582407
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1467237605816
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1467237613426
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1467237627379
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1467237633296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1467237637970
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1467237639958
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1467237645476
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1467237660119
