what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1468448065946
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468448080830
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1468448080845
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468448124902
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468448124939
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468448129871
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1468448133130
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468448133594
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468448152096
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468448189801
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468448195935
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468448196098
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468448199226
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468448199345
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468448202686
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468448202833
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1468448209873
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1468448212647
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1468448213570
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468448218355
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468448965101
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468448995854
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468449008164
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468449071160
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1468449071177
