what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468788466052
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468788549736
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468788553705
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468788634947
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1468788660446
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1468788662122
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1468788665254
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1468788666718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468788675574
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468788675714
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1468788679340
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468788684602
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468788758311
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1468788763815
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468788766029
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468788768270
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1468788769768
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1468788778431
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1468788795333
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1468788796751
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1468788810343
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1468788818838
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1468788820515
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1468788830715
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468788833115
