what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468286788639
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468286789770
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1468286789786
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468287086520
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468287086551
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1468287111051
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468287119177
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1468287119187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468287131237
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468287131253
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468287132913
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1468287132944
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468287297029
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468287297060
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1468287312166
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1468287330433
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468287338536
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468287342540
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468287342868
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1468287342899
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1468287345877
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1468287353258
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468287357931
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1468287363948
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.print,1468287363954
